LON;LAT;FECHA;CALLE;NUMERO;M2;DOLARES;PESOS;U_S_M2;Z_M2;BARRIOS;COMUNA
-58.408812740840979;-34.624732706674777;2012/12/10;SAN JUAN;3100;324.0;586000;;1808.6;0.0;SAN CRISTOBAL;3
-58.413542925847331;-34.625276709597365;2012/12/10;SAN JUAN;3400;656.0;2000000;;3048.8;0.0;BOEDO;5
-58.418792294693517;-34.625967982785404;2012/12/07;SAN JUAN;3800;1800.0;790000;;438.9;0.0;BOEDO;5
-58.402415126065023;-34.600227708592165;2012/12/04;SAN LUIS;2500;800.0;990000;;1237.5;0.0;BALVANERA;3
-58.407188197715222;-34.599738132052472;2012/12/04;SAN LUIS;3000;577.0;950000;;1646.4;0.0;BALVANERA;3
-58.413522100414198;-34.59932267333857;2012/12/04;SAN LUIS;3400;230.0;290000;;1260.9;0.0;ALMAGRO;5
-58.374155033863353;-34.60099866368946;2012/12/13;SAN MARTIN;600;299.0;2300000;;7692.3;0.0;SAN NICOLAS;1
-58.466749289997423;-34.60253832518427;2012/12/17;SAN MARTIN;2900;2024.0;5000000;;2470.4;0.0;VILLA GRAL. MITRE;11
-58.471282550580639;-34.601464387210193;2012/12/17;SAN MARTIN;3400;864.0;0;4200000;994.1;4861.1;PATERNAL;15
-58.501832766994355;-34.595236993303757;2012/12/04;SAN MARTIN;6100;270.0;450000;;1666.7;0.0;VILLA DEVOTO;11
-58.515421753044116;-34.590491431437641;2012/12/13;SAN MARTIN;7200;180.0;268000;;1488.9;0.0;VILLA DEVOTO;11
-58.488764907717339;-34.618798990971356;2012/12/13;SAN NICOLAS;1500;525.0;395000;;752.4;0.0;VILLA SANTA RITA;11
-58.502424176489164;-34.604547344781942;2012/12/13;SAN NICOLAS;3100;323.0;250000;;774.0;0.0;VILLA DEL PARQUE;11
-58.502886116730579;-34.604016634365955;2012/12/13;SAN NICOLAS;3200;384.0;280000;;729.2;0.0;VILLA DEL PARQUE;11
-58.467820507784801;-34.634390164505625;2012/12/07;SAN PEDRITO;300;376.0;550000;;1462.8;0.0;FLORES;7
-58.48651704167915;-34.654297985913814;2012/12/17;SAN PEDRO;5100;615.0;250000;;406.5;0.0;MATADEROS;9
-58.48796887880588;-34.62919434751602;2012/12/10;SANABRIA;600;272.0;310000;;1139.7;0.0;FLORESTA;10
-58.497320807880328;-34.620672901326522;2012/12/13;SANABRIA;1700;264.0;0;3220000;2494.3;12197.0;FLORESTA;10
-58.502960553003412;-34.615307784538786;2012/12/13;SANABRIA;2300;260.0;490000;;1884.6;0.0;MONTE CASTRO;10
-58.503661833529172;-34.614399639313838;2012/12/17;SANABRIA;2400;351.0;385000;;1096.9;0.0;MONTE CASTRO;10
-58.466078681320006;-34.606658007027249;2012/12/14;SANCHEZ;1900;221.0;215000;;972.9;0.0;VILLA GRAL. MITRE;11
-58.414676600861725;-34.604002222545631;2012/12/10;SANCHEZ DE BUSTAMANTE;500;665.9;1800000;;2703.2;0.0;ALMAGRO;5
-58.414195173266407;-34.603164582760861;2012/12/04;SANCHEZ DE BUSTAMANTE;581;2663.0;1800000;;675.9;0.0;ALMAGRO;5
-58.411273502599663;-34.592422543991972;2012/12/10;SANCHEZ DE BUSTAMANTE;1600;410.0;0;9600000;4788.3;23414.6;RECOLETA;2
-58.411890625758623;-34.622918900629955;2012/12/17;SANCHEZ DE LORIA;1100;240.0;435000;;1812.5;0.0;SAN CRISTOBAL;3
-58.412059904047581;-34.623958102168999;2012/12/10;SANCHEZ DE LORIA;1200;1562.0;2000000;;1280.4;0.0;SAN CRISTOBAL;3
-58.435428417610574;-34.635498116629698;2012/12/10;SANTANDER;1100;516.0;320000;;620.2;0.0;PARQUE CHACABUCO;7
-58.38423634721731;-34.61660591607059;2012/10/11;SANTIAGO DEL ESTERO;700;116.0;148000;;1275.9;0.0;MONSERRAT;1
-58.384216242533384;-34.624694927860951;2012/12/17;SANTIAGO DEL ESTERO;1400;900.0;1400000;;1555.6;0.0;CONSTITUCION;1
