X;Y;CALLE;NUMERO;M2;DOLARES;U_S_M2;FOT;COTIZ;BARRIO;COMUNA;DIRECCION NORMALIZADA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
-34.64605471409602;-58.49862024139083;ARTIGAS MANUEL DE;5400;243;220000;905.3;1.6;14.5;MATADEROS;COMUNA 9;ARTIGAS MANUEL DE 5400;1440;C1440BRF
-34.59981438385683;-58.48428661680394;ARTIGAS, JOSE GERVASIO, GRAL.;2900;153;230000;1503.3;2.5;14.5;VILLA DEL PARQUE;COMUNA 11;ARTIGAS, JOSE GERVASIO, GRAL. 2900;1417;C1417DKB
-34.580241479147155;-58.500664886111814;ARTIGAS, JOSE GERVASIO, GRAL.;5100;368;850000;2309.8;3.5;14.5;VILLA PUEYRREDON;COMUNA 12;ARTIGAS, JOSE GERVASIO, GRAL. 5100;1419;C1419EDF
-34.63198909700014;-58.4295418059374;ASAMBLEA AV.;300;152;360000;2368.4;0;14.5;PARQUE CHACABUCO;COMUNA 7;ASAMBLEA AV. 300;1424;C1424COP
-34.63637090410205;-58.443947481389074;ASAMBLEA AV.;1400;307;1150000;3745.9;0;14.5;PARQUE CHACABUCO;COMUNA 7;ASAMBLEA AV. 1400;1406;C1406HVQ
-34.637375304643655;-58.44720448917349;ASAMBLEA AV.;1600;400;410000;1025;0;14.5;PARQUE CHACABUCO;COMUNA 7;ASAMBLEA AV. 1600;1406;C1406HVS
-34.587153953071514;-58.488877237628046;ASUNCION;2200;2030;1650000;812.8;1.2;14.5;AGRONOMIA;COMUNA 15;ASUNCION 2200;1419;C1419HFB
-34.61063025389651;-58.526364853527916;ASUNCION;5200;185;220000;1189.2;1.2;14.5;VILLA DEVOTO;COMUNA 11;ASUNCION 5200;1419;C1419HHR
;;AVALOS;700;176;188000;1068.2;2;14.5;;;;;
-34.61211360183781;-58.43300003317714;AVELLANEDA;200;145;370000;2551.7;5.2;14.5;CABALLITO;COMUNA 6;AVELLANEDA 200;1405;C1405CNO
-34.61211360183781;-58.43300003317714;AVELLANEDA;200;351;600000;1709.4;0;14.5;CABALLITO;COMUNA 6;AVELLANEDA 200;1405;C1405CNO
-34.616918225452025;-58.44449666229611;AVELLANEDA;1000;330;920000;2787.9;5.2;14.5;CABALLITO;COMUNA 6;AVELLANEDA 1000;1405;C1405CNW
-34.62085841403413;-58.45486686154493;AVELLANEDA AV.;1700;298;900000;3020.1;5.2;14.5;CABALLITO;COMUNA 6;AVELLANEDA AV. 1700;1406;C1406FYO
-34.62985681057205;-58.48480267471513;AVELLANEDA AV.;4000;510;350000;686.3;0;14.5;FLORESTA;COMUNA 10;AVELLANEDA AV. 4000;1407;C1407EJT
-34.63456449138467;-58.47457006087139;AZUL;200;202;300000;1485.1;3.5;14.5;FLORESTA;COMUNA 10;AZUL 200;1407;C1407KHD
-34.63719953492246;-58.47347602482033;AZUL;500;467;330000;706.6;1.2;14.5;FLORESTA;COMUNA 10;AZUL 500;1407;C1407KHJ
-34.556676573108476;-58.47719693070833;AZURDUY JUANA;3600;149;320000;2147.7;0;14.5;COGHLAN;COMUNA 12;AZURDUY JUANA 3600;1430;C1430AQD
-34.556676573108476;-58.47719693070833;AZURDUY JUANA;3600;658;2500000;3799.4;0;14.5;COGHLAN;COMUNA 12;AZURDUY JUANA 3600;1430;C1430AQD
-34.62344012225966;-58.45503010494401;BACACAY;1700;302;580000;1920.5;3.5;14.5;CABALLITO;COMUNA 6;BACACAY 1700;1406;C1406GDB
-34.632513674390864;-58.486314960643625;BACACAY;4200;226;250000;1106.2;1.2;14.5;VELEZ SARSFIELD;COMUNA 10;BACACAY 4200;1407;C1407EDR
-34.618524190386566;-58.49250766110347;BAHIA BLANCA;1700;429;400000;932.4;0;14.5;FLORESTA;COMUNA 10;BAHIA BLANCA 1700;1407;C1407ACF
-34.61681377121645;-58.49465851453861;BAHIA BLANCA;1900;670;450000;671.6;1.2;14.5;MONTE CASTRO;COMUNA 10;BAHIA BLANCA 1900;1407;C1407ACJ
-34.612953672570306;-58.49873504309135;BAHIA BLANCA;2300;254;370000;1456.7;3;14.5;MONTE CASTRO;COMUNA 10;BAHIA BLANCA 2300;1417;C1417ASD
-34.61213954554143;-58.499467270929486;BAHIA BLANCA;2400;200;230000;1150;3;14.5;MONTE CASTRO;COMUNA 10;BAHIA BLANCA 2400;1417;C1417ASF
-34.60999094157493;-58.50140571445816;BAHIA BLANCA;2600;104;159000;1528.8;1;14.5;MONTE CASTRO;COMUNA 10;BAHIA BLANCA 2600;1417;C1417ASJ
-34.5936374220045;-58.516130351198235;BAHIA BLANCA;4800;342;350000;1023.4;1.2;14.5;VILLA DEVOTO;COMUNA 11;BAHIA BLANCA 4800;1419;C1419BBH
-34.59966968372648;-58.48425739333177;BAIGORRIA;2500;161;350000;2173.9;0;14.5;VILLA DEL PARQUE;COMUNA 11;BAIGORRIA 2500;1417;C1417FQD
-34.555413671261064;-58.482881685525236;BALBIN, RICARDO, DR. AV.;3700;148;790000;5337.8;0;14.5;SAAVEDRA;COMUNA 12;BALBIN, RICARDO, DR. AV. 3700;1430;C1430AAU
-34.55500715946689;-58.488242739293774;BALBIN, RICARDO, DR. AV.;4100;286;650000;2272.7;0;14.5;SAAVEDRA;COMUNA 12;BALBIN, RICARDO, DR. AV. 4100;1430;C1430AAY
-34.55512563868768;-58.49063018142695;BALBIN, RICARDO, DR. AV.;4200;2350;1150000;489.4;0;14.5;SAAVEDRA;COMUNA 12;BALBIN, RICARDO, DR. AV. 4200;1430;C1430AAZ
-34.59174337540431;-58.466861402471864;BALBOA;400;1050;1900000;1809.5;1.2;14.5;PATERNAL;COMUNA 15;BALBOA 400;1427;C1427ATF
-34.61832492479677;-58.370120909126605;BALCARCE;900;150;350000;2333.3;0;14.5;SAN TELMO;COMUNA 1;BALCARCE 900;1064;C1064AAR
-34.63702708672106;-58.47591739980127;BARADERO;400;193;210000;1088.1;3.5;14.5;FLORESTA;COMUNA 10;BARADERO 400;1407;C1407KFH
-34.63702708672106;-58.47591739980127;BARADERO;400;322;400000;1242.2;3.5;14.5;FLORESTA;COMUNA 10;BARADERO 400;1407;C1407KFH
;;BARCALA;3000;149;240000;1610.7;3.5;14.5;;;;;
